,importance
Customer service calls,0.1481026859720054
Total day charge,0.1345695762545352
Total day minutes,0.12581794762528528
International plan,0.10348084733808499
Total eve charge,0.05767756918285271
Total eve minutes,0.055245525409790414
Total intl calls,0.044621413072141326
Total intl charge,0.04145819136865158
Total intl minutes,0.04126515152921136
Total night charge,0.03784356543664295
Total night minutes,0.037434263465808776
Total day calls,0.03461649967772742
Total night calls,0.033791122280327705
Account length,0.031630004228635246
Total eve calls,0.030609370346381663
Number vmail messages,0.028024947263126123
Voice mail plan,0.01381131954879176
